customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Customer_Segment,CLV_Estimated
157,39,11,233028.62,4,3,1,431,8,Potential Loyalist,349542.93
158,71,8,338379.63,3,2,2,322,7,Needs Attention,507569.445
159,172,10,697875.86,1,3,4,134,8,Potential Loyalist,1046813.79
160,2,7,371412.33,5,1,2,512,8,Potential Loyalist,557118.495
161,119,11,637242.55,2,3,4,234,9,Potential Loyalist,955863.8250000001
162,43,8,827379.27,4,2,5,425,11,Loyal Customers,1241068.905
163,88,6,183045.26,2,1,1,211,4,Lost,274567.89
164,13,13,422055.45,5,4,3,543,12,Loyal Customers,633083.175
165,335,15,1251371.63,1,5,5,155,11,Loyal Customers,1877057.4449999998
166,52,8,133272.21,4,2,1,421,7,Needs Attention,199908.315
167,67,12,768733.41,3,4,4,344,11,Loyal Customers,1153100.115
168,72,7,316753.56,3,1,2,312,6,Needs Attention,475130.33999999997
169,13,7,145098.87,5,1,1,511,7,Needs Attention,217648.305
170,169,14,621559.95,1,5,4,154,10,Potential Loyalist,932339.9249999999
171,46,10,417110.28,4,3,3,433,10,Potential Loyalist,625665.42
172,22,11,496500.35000000003,5,3,3,533,11,Loyal Customers,744750.5249999999
173,49,14,1180652.8800000001,4,5,5,455,14,Champions,1770979.3200000003
174,131,11,515542.6,2,3,3,233,8,Potential Loyalist,773313.8999999999
175,123,9,222489.07,2,2,1,221,5,Lost,333733.605
176,41,14,841238.74,4,5,5,455,14,Champions,1261858.1099999999
177,302,9,156639.54,1,2,1,121,4,Lost,234959.31
178,62,7,296258.1,3,1,2,312,6,Needs Attention,444387.14999999997
179,142,11,169450.98,2,3,1,231,6,Needs Attention,254176.47000000003
180,40,11,191592.44999999998,4,3,1,431,8,Potential Loyalist,287388.675
181,64,6,550066.38,3,1,4,314,8,Potential Loyalist,825099.5700000001
182,52,9,568072.93,4,2,4,424,10,Potential Loyalist,852109.395
183,55,7,186240.97999999998,3,1,1,311,5,Lost,279361.47
184,70,13,1155335.83,3,4,5,345,12,Loyal Customers,1733003.745
185,272,8,273276.31,1,2,2,122,5,Lost,409914.46499999997
186,56,11,598651.97,3,3,4,334,10,Potential Loyalist,897977.955
187,16,13,763008.61,5,4,4,544,13,Loyal Customers,1144512.915
188,37,9,606389.4500000001,4,2,4,424,10,Potential Loyalist,909584.175
189,82,8,335651.97,3,2,2,322,7,Needs Attention,503477.95499999996
190,71,11,521663.6699999999,3,3,3,333,9,Potential Loyalist,782495.5049999999
191,13,14,324505.29,5,5,2,552,12,Loyal Customers,486757.93499999994
192,82,11,1308114.53,3,3,5,335,11,Loyal Customers,1962171.795
193,219,11,343669.52999999997,1,3,2,132,6,Needs Attention,515504.2949999999
194,87,8,320938.58,2,2,2,222,6,Needs Attention,481407.87
195,44,15,539338.52,4,5,3,453,12,Loyal Customers,809007.78
196,48,7,241952.29,4,1,2,412,7,Needs Attention,362928.43499999994
197,50,10,297118.15,4,3,2,432,9,Potential Loyalist,445677.22500000003
198,75,12,1229304.59,3,4,5,345,12,Loyal Customers,1843956.8850000002
199,44,8,440476.96,4,2,3,423,9,Potential Loyalist,660715.4400000001
200,66,10,332521.52,3,3,2,332,8,Potential Loyalist,498782.28
201,116,12,399348.94,2,4,3,243,9,Potential Loyalist,599023.4099999999
202,120,7,86413.43,2,1,1,211,4,Lost,129620.14499999999
203,123,8,463607.39,2,2,3,223,7,Needs Attention,695411.085
204,121,8,110479.11,2,2,1,221,5,Lost,165718.665
205,37,8,254211.41,4,2,2,422,8,Potential Loyalist,381317.115
206,121,7,235718.13,2,1,2,212,5,Lost,353577.19499999995
207,186,8,226485.02000000002,1,2,1,121,4,Lost,339727.53
208,5,9,379524.16000000003,5,2,2,522,9,Potential Loyalist,569286.24
209,102,15,368893.87,2,5,2,252,9,Potential Loyalist,553340.8049999999
210,73,8,143333.47,3,2,1,321,6,Needs Attention,215000.20500000002
211,109,11,729074.0,2,3,4,234,9,Potential Loyalist,1093611.0
212,304,6,301676.49,1,1,2,112,4,Lost,452514.735
213,43,12,761796.92,4,4,4,444,12,Loyal Customers,1142695.3800000001
214,58,9,453871.63,3,2,3,323,8,Potential Loyalist,680807.4450000001
215,325,7,133927.57,1,1,1,111,3,Lost,200891.355
216,213,11,512076.8,1,3,3,133,7,Needs Attention,768115.2
217,77,9,642565.6200000001,3,2,4,324,9,Potential Loyalist,963848.4300000002
218,27,17,1360890.21,5,5,5,555,15,Champions,2041335.315
219,280,9,736352.93,1,2,4,124,7,Needs Attention,1104529.395
220,82,13,643492.12,3,4,4,344,11,Loyal Customers,965238.1799999999
221,123,10,385350.07,2,3,3,233,8,Potential Loyalist,578025.105
222,12,6,95757.36,5,1,1,511,7,Needs Attention,143636.04
223,34,7,181284.07,4,1,1,411,6,Needs Attention,271926.105
224,191,10,381705.71,1,3,2,132,6,Needs Attention,572558.5650000001
225,155,12,848176.29,2,4,5,245,11,Loyal Customers,1272264.435
226,91,6,147164.93000000002,2,1,1,211,4,Lost,220747.39500000002
227,120,8,297047.41000000003,2,2,2,222,6,Needs Attention,445571.11500000005
228,42,10,636543.0,4,3,4,434,11,Loyal Customers,954814.5
229,1,11,869934.54,5,3,5,535,13,Loyal Customers,1304901.81
230,35,7,286025.82,4,1,2,412,7,Needs Attention,429038.73
231,153,10,367337.8,2,3,2,232,7,Needs Attention,551006.7
232,40,7,143787.85,4,1,1,411,6,Needs Attention,215681.77500000002
233,138,12,345462.35,2,4,2,242,8,Potential Loyalist,518193.52499999997
234,161,14,858969.25,1,5,5,155,11,Loyal Customers,1288453.875
235,74,10,288777.48,3,3,2,332,8,Potential Loyalist,433166.22
236,37,14,825346.8800000001,4,5,5,455,14,Champions,1238020.3200000003
237,117,9,512445.00999999995,2,2,3,223,7,Needs Attention,768667.5149999999
238,42,8,430033.2,4,2,3,423,9,Potential Loyalist,645049.8
239,300,6,64465.99,1,1,1,111,3,Lost,96698.98500000002
240,141,8,369448.14,2,2,2,222,6,Needs Attention,554172.21
241,38,11,425883.69999999995,4,3,3,433,10,Potential Loyalist,638825.5499999999
242,67,11,465170.68,3,3,3,333,9,Potential Loyalist,697756.02
243,152,7,840114.2,2,1,5,215,8,Potential Loyalist,1260171.2999999998
244,69,7,553340.21,3,1,4,314,8,Potential Loyalist,830010.315
245,176,10,555717.11,1,3,4,134,8,Potential Loyalist,833575.665
246,26,8,98438.62,5,2,1,521,8,Potential Loyalist,147657.93
247,149,9,530780.95,2,2,3,223,7,Needs Attention,796171.4249999999
248,393,6,115209.39,1,1,1,111,3,Lost,172814.08499999996
249,114,10,801527.8200000001,2,3,5,235,10,Potential Loyalist,1202291.73
250,94,7,714446.44,2,1,4,214,7,Needs Attention,1071669.66
251,165,9,433301.14,1,2,3,123,6,Needs Attention,649951.71
252,84,10,266123.05,3,3,2,332,8,Potential Loyalist,399184.57499999995
253,126,9,666136.65,2,2,4,224,8,Potential Loyalist,999204.9750000001
254,195,7,20308.16,1,1,1,111,3,Lost,30462.239999999998
255,39,13,560789.4,4,4,4,444,12,Loyal Customers,841184.1000000001
256,345,10,743509.9700000001,1,3,4,134,8,Potential Loyalist,1115264.955
257,51,13,615140.08,4,4,4,444,12,Loyal Customers,922710.1199999999
258,53,10,596267.36,3,3,4,334,10,Potential Loyalist,894401.04
259,15,10,598838.4,5,3,4,534,12,Loyal Customers,898257.6000000001
260,146,3,32416.27,2,1,1,211,4,Lost,48624.405000000006
261,277,10,318015.76,1,3,2,132,6,Needs Attention,477023.64
262,72,11,605176.53,3,3,4,334,10,Potential Loyalist,907764.795
263,43,12,691412.19,4,4,4,444,12,Loyal Customers,1037118.2849999999
264,20,9,174957.5,5,2,1,521,8,Potential Loyalist,262436.25
265,134,6,446604.44,2,1,3,213,6,Needs Attention,669906.66
266,88,13,554961.37,2,4,4,244,10,Potential Loyalist,832442.0549999999
267,34,10,92845.45,4,3,1,431,8,Potential Loyalist,139268.175
268,234,15,1278033.91,1,5,5,155,11,Loyal Customers,1917050.8649999998
269,25,11,618017.04,5,3,4,534,12,Loyal Customers,927025.56
270,52,7,577231.63,4,1,4,414,9,Potential Loyalist,865847.4450000001
271,54,10,491690.69000000006,3,3,3,333,9,Potential Loyalist,737536.0350000001
272,85,17,1551581.02,2,5,5,255,12,Loyal Customers,2327371.5300000003
273,27,13,1222337.33,5,4,5,545,14,Champions,1833505.995
274,22,11,286404.96,5,3,2,532,10,Potential Loyalist,429607.44000000006
275,143,9,591191.61,2,2,4,224,8,Potential Loyalist,886787.415
276,342,5,111964.94,1,1,1,111,3,Lost,167947.41
277,30,5,77315.93,4,1,1,411,6,Needs Attention,115973.89499999999
278,21,14,687611.05,5,5,4,554,14,Champions,1031416.5750000001
279,9,12,731967.89,5,4,4,544,13,Loyal Customers,1097951.835
280,43,12,365679.11,4,4,2,442,10,Potential Loyalist,548518.665
281,83,11,941481.18,3,3,5,335,11,Loyal Customers,1412221.77
282,82,8,205845.05000000002,3,2,1,321,6,Needs Attention,308767.575
283,35,8,283907.69,4,2,2,422,8,Potential Loyalist,425861.53500000003
284,8,6,106255.46,5,1,1,511,7,Needs Attention,159383.19000000003
285,51,11,172031.54,4,3,1,431,8,Potential Loyalist,258047.31
286,219,8,309636.43000000005,1,2,2,122,5,Lost,464454.6450000001
287,152,7,209936.02,2,1,1,211,4,Lost,314904.02999999997
288,49,13,695979.22,4,4,4,444,12,Loyal Customers,1043968.83
289,83,11,319800.60000000003,3,3,2,332,8,Potential Loyalist,479700.9
290,206,13,676172.89,1,4,4,144,9,Potential Loyalist,1014259.335
291,72,8,62634.58,3,2,1,321,6,Needs Attention,93951.87
292,164,9,86662.02,1,2,1,121,4,Lost,129993.03000000003
293,173,10,228467.47,1,3,1,131,5,At Risk,342701.205
294,137,11,581722.76,2,3,4,234,9,Potential Loyalist,872584.14
295,17,14,842401.47,5,5,5,555,15,Champions,1263602.205
296,61,9,514521.05000000005,3,2,3,323,8,Potential Loyalist,771781.5750000001
297,91,5,140538.61,2,1,1,211,4,Lost,210807.91499999998
298,3,13,439606.88,5,4,3,543,12,Loyal Customers,659410.3200000001
299,2,14,511976.35,5,5,3,553,13,Loyal Customers,767964.5249999999
300,109,7,154485.68,2,1,1,211,4,Lost,231728.52
301,72,12,1254800.03,3,4,5,345,12,Loyal Customers,1882200.045
302,10,11,1184612.5699999998,5,3,5,535,13,Loyal Customers,1776918.8549999997
303,177,8,748793.13,1,2,4,124,7,Needs Attention,1123189.695
304,182,14,1440433.66,1,5,5,155,11,Loyal Customers,2160650.4899999998
305,104,14,604514.52,2,5,4,254,11,Loyal Customers,906771.78
306,126,12,337103.50999999995,2,4,2,242,8,Potential Loyalist,505655.2649999999
307,43,6,370690.92000000004,4,1,2,412,7,Needs Attention,556036.3800000001
308,13,9,754505.84,5,2,4,524,11,Loyal Customers,1131758.76
309,75,9,187885.68,3,2,1,321,6,Needs Attention,281828.52
310,76,3,112813.24,3,1,1,311,5,Lost,169219.86000000004
311,10,11,636757.33,5,3,4,534,12,Loyal Customers,955135.9949999999
312,44,11,503792.52,4,3,3,433,10,Potential Loyalist,755688.78
313,127,15,1216815.68,2,5,5,255,12,Loyal Customers,1825223.52
314,49,10,694721.65,4,3,4,434,11,Loyal Customers,1042082.4750000002
315,232,5,495757.66000000003,1,1,3,113,5,Lost,743636.49
316,29,5,158258.98,4,1,1,411,6,Needs Attention,237388.47000000003
317,37,7,366294.77,4,1,2,412,7,Needs Attention,549442.155
318,261,7,807115.24,1,1,5,115,7,Needs Attention,1210672.8599999999
319,279,5,231419.91999999998,1,1,1,111,3,Lost,347129.88
320,124,10,214327.02000000002,2,3,1,231,6,Needs Attention,321490.53
321,99,14,1640450.63,2,5,5,255,12,Loyal Customers,2460675.945
322,42,8,832219.2299999999,4,2,5,425,11,Loyal Customers,1248328.8449999997
323,162,12,250440.6,1,4,2,142,7,Needs Attention,375660.89999999997
324,130,19,940289.27,2,5,5,255,12,Loyal Customers,1410433.905
325,84,10,1134204.77,3,3,5,335,11,Loyal Customers,1701307.155
326,88,4,84364.59999999999,2,1,1,211,4,Lost,126546.9
327,211,12,506772.14,1,4,3,143,8,Potential Loyalist,760158.21
328,129,6,178640.55,2,1,1,211,4,Lost,267960.82499999995
329,64,6,512010.97000000003,3,1,3,313,7,Needs Attention,768016.455
330,37,12,878975.3099999999,4,4,5,445,13,Loyal Customers,1318462.9649999999
331,182,10,582188.6,1,3,4,134,8,Potential Loyalist,873282.8999999999
332,252,11,400769.93999999994,1,3,3,133,7,Needs Attention,601154.9099999999
333,41,8,605824.1,4,2,4,424,10,Potential Loyalist,908736.1499999999
334,272,7,285206.44,1,1,2,112,4,Lost,427809.66000000003
335,44,12,1068412.37,4,4,5,445,13,Loyal Customers,1602618.5550000002
336,266,9,105955.85,1,2,1,121,4,Lost,158933.77500000002
337,132,7,272352.52999999997,2,1,2,212,5,Lost,408528.7949999999
338,11,6,263836.72,5,1,2,512,8,Potential Loyalist,395755.07999999996
339,83,13,502629.62,3,4,3,343,10,Potential Loyalist,753944.4299999999
340,15,12,214957.33,5,4,1,541,10,Potential Loyalist,322435.995
341,87,8,317615.43,2,2,2,222,6,Needs Attention,476423.145
342,36,11,391781.43,4,3,3,433,10,Potential Loyalist,587672.145
343,3,10,709908.75,5,3,4,534,12,Loyal Customers,1064863.125
344,12,12,478102.76000000007,5,4,3,543,12,Loyal Customers,717154.1400000001
345,101,13,819942.9,2,4,5,245,11,Loyal Customers,1229914.35
346,563,7,431248.63,1,1,3,113,5,Lost,646872.9450000001
347,18,10,345705.84,5,3,2,532,10,Potential Loyalist,518558.76
348,30,8,590598.2100000001,4,2,4,424,10,Potential Loyalist,885897.3150000002
349,162,9,370226.79000000004,1,2,2,122,5,Lost,555340.185
350,86,13,708206.6,2,4,4,244,10,Potential Loyalist,1062309.9
351,37,7,818394.5499999999,4,1,5,415,10,Potential Loyalist,1227591.825
352,92,11,861733.33,2,3,5,235,10,Potential Loyalist,1292599.9949999999
353,131,11,1203948.64,2,3,5,235,10,Potential Loyalist,1805922.96
354,41,11,274626.75,4,3,2,432,9,Potential Loyalist,411940.125
355,113,7,326313.67,2,1,2,212,5,Lost,489470.505
356,40,9,437496.86,4,2,3,423,9,Potential Loyalist,656245.29
357,10,15,396897.01,5,5,3,553,13,Loyal Customers,595345.515
358,36,7,379687.36,4,1,2,412,7,Needs Attention,569531.04
359,5,14,951723.97,5,5,5,555,15,Champions,1427585.955
360,38,7,275118.04,4,1,2,412,7,Needs Attention,412677.05999999994
361,85,9,291590.04,2,2,2,222,6,Needs Attention,437385.05999999994
362,14,11,516517.79000000004,5,3,3,533,11,Loyal Customers,774776.6849999999
363,396,6,205346.66999999998,1,1,1,111,3,Lost,308020.005
364,96,13,592649.59,2,4,4,244,10,Potential Loyalist,888974.385
365,270,8,449852.63,1,2,3,123,6,Needs Attention,674778.9450000001
366,38,10,177520.1,4,3,1,431,8,Potential Loyalist,266280.15
367,128,8,283427.38,2,2,2,222,6,Needs Attention,425141.07
368,33,9,274060.55,4,2,2,422,8,Potential Loyalist,411090.82499999995
369,166,12,294973.49,1,4,2,142,7,Needs Attention,442460.235
370,159,10,284450.62,1,3,2,132,6,Needs Attention,426675.93
371,20,6,532928.98,5,1,3,513,9,Potential Loyalist,799393.47
372,136,12,735710.49,2,4,4,244,10,Potential Loyalist,1103565.7349999999
373,41,13,629396.9,4,4,4,444,12,Loyal Customers,944095.3500000001
374,673,7,535613.8,1,1,3,113,5,Lost,803420.7000000001
375,43,14,497485.10000000003,4,5,3,453,12,Loyal Customers,746227.65
376,83,11,299020.58999999997,3,3,2,332,8,Potential Loyalist,448530.88499999995
377,38,17,1699471.79,4,5,5,455,14,Champions,2549207.685
378,435,6,1114963.12,1,1,5,115,7,Needs Attention,1672444.6800000002
379,45,16,374434.04,4,5,2,452,11,Loyal Customers,561651.0599999999
380,137,11,182843.47,2,3,1,231,6,Needs Attention,274265.205
381,44,6,84309.64,4,1,1,411,6,Needs Attention,126464.45999999999
382,34,9,603966.0,4,2,4,424,10,Potential Loyalist,905949.0
383,231,8,433119.05000000005,1,2,3,123,6,Needs Attention,649678.5750000001
384,45,9,290270.9,4,2,2,422,8,Potential Loyalist,435406.35000000003
385,29,7,226631.57,4,1,1,411,6,Needs Attention,339947.355
386,177,9,815740.88,1,2,5,125,8,Potential Loyalist,1223611.32
387,52,16,572322.52,4,5,4,454,13,Loyal Customers,858483.78
388,51,6,675479.04,4,1,4,414,9,Potential Loyalist,1013218.56
389,49,7,840470.0200000001,4,1,5,415,10,Potential Loyalist,1260705.0300000003
