warehouse_id,product_id,stock_quantity,reorder_level,safety_stock,last_restocked,name,category,price,cost_price,ABC_Class,is_overstock,stockout_risk,est_lost_revenue,dead_inventory
WH001,33,63,17,19,2026-05-26,Bombay Dyeing Cookware Voluptate,Home & Kitchen,13680.61,9535.31,C,True,False,0.0,True
WH001,34,310,34,19,2026-06-18,Bajaj Decor Dolorum,Home & Kitchen,20154.32,12401.01,B,True,False,0.0,False
WH001,35,32,28,13,2026-06-23,Prestige Decor Aliquam,Home & Kitchen,6863.72,4277.11,C,False,False,0.0,False
WH001,38,111,29,16,2026-05-18,Fabindia Men Placeat,Fashion,2748.59,1877.24,C,True,False,0.0,True
WH001,39,97,49,13,2026-06-05,Classmate Art Supplies Libero,Stationery,692.53,486.47,C,False,False,0.0,False
WH001,40,11,21,6,2026-06-22,Penguin Academic Culpa,Books,866.25,458.59,C,False,False,0.0,False
WH001,41,98,43,11,2026-06-13,Penguin Fiction Voluptatum,Books,852.98,523.34,C,False,False,0.0,False
WH001,43,4,39,5,2026-06-16,Bosch Accessories Dolorem,Automotive,4179.78,2112.75,B,False,True,0.0,False
WH001,45,189,27,13,2026-06-12,Zara Kids Assumenda,Fashion,8839.38,4689.61,B,True,False,0.0,False
WH001,47,302,14,14,2026-05-31,Mamaearth Skincare Fuga,Beauty,1192.22,736.14,C,True,False,0.0,True
WH001,48,173,25,15,2026-06-04,Boat Wearables Illum,Electronics,40722.27,24332.14,B,True,False,0.0,False
WH001,50,131,39,11,2026-05-29,Michelin Parts Dolor,Automotive,3790.45,1702.76,B,True,False,0.0,False
WH001,52,205,27,14,2026-06-12,Cosco Equipment Aperiam,Sports,10469.56,5392.88,C,True,False,0.0,True
WH001,53,22,42,7,2026-07-15,Funskool Board Games Doloremque,Toys,3348.79,1545.83,C,False,False,0.0,False
WH001,54,10,39,5,2026-07-06,Prestige Furniture Eos,Home & Kitchen,26159.57,13971.12,B,False,False,0.0,False
WH001,55,302,38,5,2026-07-02,Yonex Equipment Laborum,Sports,2424.41,1036.74,C,True,False,0.0,True
WH001,56,314,34,14,2026-06-19,Tata Staples Quis,Grocery,355.95,228.63,C,True,False,0.0,True
WH001,57,38,19,13,2026-06-02,Mamaearth Makeup Tempore,Beauty,2837.03,1590.31,C,False,False,0.0,False
WH001,59,50,16,8,2026-05-22,Fabindia Women Est,Fashion,2396.79,1566.02,C,True,False,0.0,True
WH001,60,14,40,6,2026-06-12,Cello Pens Accusantium,Stationery,341.45,144.69,C,False,False,0.0,False
WH001,61,22,33,15,2026-05-23,Boat Laptops Quibusdam,Electronics,13193.95,8313.58,B,False,False,0.0,False
WH001,62,68,30,19,2026-07-15,Decathlon Fitness Fugit,Sports,7449.7,5331.98,C,False,False,0.0,False
WH001,63,112,32,14,2026-07-04,Cosco Team Sports Et,Sports,7812.42,3198.65,C,True,False,0.0,True
WH001,67,292,22,15,2026-07-01,Mamaearth Makeup Error,Beauty,3217.22,2301.36,C,True,False,0.0,True
WH001,68,1,14,5,2026-07-07,Penguin Fiction Fugit,Books,880.33,583.89,C,False,True,0.0,False
WH001,70,98,46,16,2026-06-06,Mattel Educational Perferendis,Toys,4086.93,2933.1,C,False,False,0.0,False
WH001,72,12,10,8,2026-07-08,Cosco Equipment Assumenda,Sports,18465.31,11353.09,B,False,False,0.0,False
WH001,73,70,35,15,2026-06-17,ITC Beverages Fuga,Grocery,796.04,566.36,C,False,False,0.0,False
WH001,75,125,35,17,2026-05-19,3M Care Sapiente,Automotive,10172.44,6840.08,C,True,False,0.0,True
WH001,77,227,41,12,2026-06-29,Bombay Dyeing Bedding Molestias,Home & Kitchen,39176.36,27561.16,A,True,False,0.0,False
WH001,78,9,39,10,2026-05-24,Parker Office Aliquid,Stationery,1484.83,952.3,C,False,True,0.0,False
WH001,79,33,42,8,2026-06-08,Godrej Tools Vitae,Automotive,10030.92,5778.84,B,False,False,0.0,False
WH001,80,6,24,9,2026-06-14,Boat Audio Accusantium,Electronics,89911.89,55967.91,B,False,True,0.0,False
WH001,82,2,36,5,2026-05-17,Tata Snacks Hic,Grocery,95.42,39.74,C,False,True,0.0,False
WH001,83,246,32,11,2026-06-29,Boat Smartphones Ut,Electronics,95910.56,38649.44,C,True,False,0.0,True
WH001,85,31,20,17,2026-06-13,Tata Snacks Amet,Grocery,683.93,388.4,C,False,False,0.0,False
WH001,86,91,11,12,2026-07-13,Parker Pens Beatae,Stationery,145.51,93.03,C,True,False,0.0,True
WH001,88,22,40,11,2026-05-28,Nykaa Fragrance Distinctio,Beauty,1882.69,1398.74,C,False,False,0.0,False
WH001,89,67,31,9,2026-07-07,Boat Laptops Suscipit,Electronics,140257.62,75942.67,B,False,False,0.0,False
WH001,90,50,44,6,2026-06-23,Samsung Smartphones Hic,Electronics,106441.62,57783.16,B,False,False,0.0,False
WH001,91,125,49,11,2026-06-04,Rupa Children Eius,Books,579.66,315.3,C,False,False,0.0,False
WH001,93,284,16,19,2026-07-03,IKEA Bedding Voluptatibus,Home & Kitchen,21508.36,13877.06,B,True,False,0.0,False
WH001,94,90,43,5,2026-06-12,Decathlon Equipment Itaque,Sports,3474.23,2303.31,C,False,False,0.0,False
WH001,96,170,11,6,2026-06-01,Decathlon Equipment Ipsa,Sports,11399.48,6855.78,C,True,False,0.0,True
WH001,97,161,20,5,2026-06-17,Fabindia Accessories Velit,Fashion,9284.27,5221.99,C,True,False,0.0,True
WH001,101,78,15,5,2026-06-27,Parker Art Supplies Mollitia,Stationery,79.27,55.06,C,True,False,0.0,True
WH001,102,239,34,7,2026-05-25,Godrej Care Mollitia,Automotive,14078.55,7385.04,C,True,False,0.0,True
WH001,104,250,34,19,2026-07-08,Bosch Care Reiciendis,Automotive,11091.45,4809.5,B,True,False,0.0,False
WH001,105,284,13,12,2026-07-13,Michelin Care Nesciunt,Automotive,5792.76,3676.68,C,True,False,0.0,True
WH001,106,23,28,9,2026-06-26,Cello Office Veritatis,Stationery,474.23,311.71,C,False,False,0.0,False
WH001,108,141,19,7,2026-07-09,Rupa Children Hic,Books,1107.46,726.83,C,True,False,0.0,True
WH001,109,516,14,7,2026-07-07,Lakme Makeup Veniam,Beauty,4203.42,3145.18,C,True,False,0.0,True
WH001,110,42,12,8,2026-06-29,Bombay Dyeing Decor Laboriosam,Home & Kitchen,3198.43,1416.98,C,True,False,0.0,True
WH001,111,160,44,19,2026-06-26,Faber-Castell Pens Doloremque,Stationery,1096.96,703.61,C,True,False,0.0,True
WH001,114,72,12,17,2026-06-08,Faber-Castell Art Supplies Modi,Stationery,982.82,697.53,C,True,False,0.0,True
WH001,115,232,29,6,2026-05-23,Samsung Wearables Maxime,Electronics,114170.38,71201.25,A,True,False,0.0,False
WH001,116,203,16,16,2026-06-01,Loreal Skincare Expedita,Beauty,3869.17,2714.6,C,True,False,0.0,True
WH001,117,7,18,9,2026-06-08,Michelin Accessories Voluptates,Automotive,4764.46,3137.12,C,False,True,0.0,False
WH001,119,36,10,16,2026-06-28,Mamaearth Makeup Soluta,Beauty,4577.79,3075.17,C,True,False,0.0,True
WH001,120,50,39,17,2026-07-12,Lego Board Games Nesciunt,Toys,1212.68,743.36,C,False,False,0.0,False
WH001,121,196,13,6,2026-07-03,Boat Wearables Ea,Electronics,89200.42,62598.62,A,True,False,0.0,False
WH001,123,5,14,13,2026-05-19,Patanjali Personal Care Harum,Grocery,585.25,277.54,C,False,True,0.0,False
WH001,124,424,42,14,2026-07-12,Prestige Cookware Voluptatum,Home & Kitchen,9596.73,7011.7,C,True,False,0.0,True
WH001,125,3,34,16,2026-06-03,IKEA Furniture Voluptates,Home & Kitchen,31319.92,15750.51,B,False,True,0.0,False
WH001,126,595,13,17,2026-05-20,Fabindia Men Ad,Fashion,2251.11,1611.54,C,True,False,0.0,True
WH001,127,109,37,19,2026-06-02,Lego Action Figures Quae,Toys,921.13,455.99,C,False,False,0.0,False
WH001,128,186,21,9,2026-07-01,Amul Personal Care Similique,Grocery,710.09,296.9,C,True,False,0.0,True
WH001,129,29,37,13,2026-05-23,Boat Laptops Culpa,Electronics,6516.99,3026.21,C,False,False,0.0,False
WH001,130,35,33,13,2026-06-22,Zara Kids Sunt,Fashion,5290.25,2715.81,C,False,False,0.0,False
WH001,131,181,15,13,2026-05-29,Godrej Tools Blanditiis,Automotive,8166.71,5692.13,C,True,False,0.0,True
WH001,132,140,10,14,2026-07-03,Godrej Accessories Blanditiis,Automotive,1808.57,1130.23,C,True,False,0.0,True
WH001,134,410,16,17,2026-05-29,Boat Laptops Esse,Electronics,95132.93,43459.81,A,True,False,0.0,False
WH001,137,23,43,19,2026-06-02,Cosco Fitness Explicabo,Sports,15382.51,6391.13,B,False,False,0.0,False
WH001,138,144,19,5,2026-06-08,Cello Pens Doloribus,Stationery,747.74,389.98,C,True,False,0.0,True
WH001,139,281,30,19,2026-07-14,Parker Art Supplies Sunt,Stationery,589.33,440.12,C,True,False,0.0,True
WH001,140,213,13,17,2026-05-17,Parker Notebooks Est,Stationery,1374.85,867.26,C,True,False,0.0,True
WH001,141,192,44,14,2026-05-31,Bombay Dyeing Decor Minus,Home & Kitchen,30683.17,15079.8,C,True,False,0.0,True
WH001,143,93,17,10,2026-06-12,Mamaearth Fragrance Inventore,Beauty,3858.16,2853.62,C,True,False,0.0,True
WH001,145,14,10,15,2026-06-03,Bosch Tools Enim,Automotive,7231.55,5263.66,B,False,True,0.0,False
WH001,146,14,37,7,2026-07-04,Lego Action Figures Tempore,Toys,3851.19,1672.4,B,False,False,0.0,False
WH001,150,7,24,6,2026-06-17,ITC Personal Care Deserunt,Grocery,261.58,128.2,C,False,False,0.0,False
WH001,151,125,47,9,2026-06-19,Mamaearth Makeup Tempora,Beauty,2877.28,2059.82,C,False,False,0.0,False
WH001,152,116,48,17,2026-06-06,Amul Staples Amet,Grocery,966.0,468.8,C,False,False,0.0,False
WH001,154,0,24,10,2026-06-27,Classmate Art Supplies Ipsa,Stationery,295.36,182.63,C,False,True,0.0,False
WH001,156,58,49,15,2026-07-01,Godrej Accessories Facere,Automotive,8113.95,4878.4,B,False,False,0.0,False
WH001,158,230,27,5,2026-05-30,Boat Laptops Repellat,Electronics,43939.23,22469.09,C,True,False,0.0,True
WH001,159,127,35,13,2026-06-19,Funskool Educational Eligendi,Toys,624.49,390.28,C,True,False,0.0,True
WH001,160,7,37,8,2026-07-05,Zara Accessories Necessitatibus,Fashion,8275.5,3450.32,C,False,True,0.0,False
WH001,162,212,38,16,2026-06-11,Lego Board Games Ad,Toys,389.67,253.88,C,True,False,0.0,True
WH001,164,8,14,14,2026-06-06,IKEA Decor Dignissimos,Home & Kitchen,49094.45,25874.58,A,False,True,0.0,False
WH001,165,143,18,5,2026-06-27,Nike Kids Cum,Fashion,5258.16,2485.18,C,True,False,0.0,True
WH001,166,131,33,18,2026-06-11,Fabindia Men Voluptate,Fashion,2308.88,1635.12,C,True,False,0.0,True
WH001,167,120,41,9,2026-06-28,Bosch Accessories Esse,Automotive,9130.9,3812.43,B,False,False,0.0,False
WH001,168,16,28,6,2026-05-23,Lego Educational Quis,Toys,4804.67,2905.6,C,False,False,0.0,False
WH001,169,272,34,17,2026-06-12,Faber-Castell Pens Recusandae,Stationery,344.88,180.45,C,True,False,0.0,True
WH001,171,123,44,16,2026-06-06,Penguin Academic Ratione,Books,691.57,290.46,C,False,False,0.0,False
WH001,176,123,22,6,2026-05-20,Oxford Non-Fiction A,Books,581.85,267.4,C,True,False,0.0,True
WH001,177,143,43,18,2026-06-02,Bosch Care Nam,Automotive,8905.71,5403.04,B,True,False,0.0,False
WH001,178,103,25,11,2026-06-09,Fabindia Kids Numquam,Fashion,1713.9,1208.67,C,True,False,0.0,True
WH001,179,553,29,18,2026-05-25,Classmate Pens Adipisci,Stationery,286.57,143.11,C,True,False,0.0,True
WH001,182,201,37,9,2026-05-22,Godrej Parts Sapiente,Automotive,3737.23,2348.18,C,True,False,0.0,True
WH001,183,7,35,7,2026-05-20,3M Accessories Fugit,Automotive,6967.34,3124.29,C,False,True,0.0,False
WH001,184,152,21,5,2026-06-16,Apple Wearables Dolorem,Electronics,127685.79,86459.73,B,True,False,0.0,False
WH001,186,40,11,6,2026-07-15,Classmate Pens Nisi,Stationery,278.78,190.23,C,True,False,0.0,True
WH001,187,123,32,9,2026-06-25,Sony Audio Alias,Electronics,77333.94,44805.83,B,True,False,0.0,False
WH001,188,202,48,17,2026-06-25,Michelin Parts Eveniet,Automotive,10054.4,5980.27,B,True,False,0.0,False
WH001,189,71,18,11,2026-07-07,Parker Notebooks Totam,Stationery,1055.69,592.1,C,True,False,0.0,True
WH001,190,4,49,15,2026-06-19,Mattel Plush Ad,Toys,3513.29,2317.37,C,False,True,0.0,False
WH001,191,104,17,13,2026-06-04,Faber-Castell Art Supplies Quo,Stationery,156.04,100.65,C,True,False,0.0,True
WH001,194,128,24,17,2026-07-03,Faber-Castell Notebooks Expedita,Stationery,1277.8,701.64,C,True,False,0.0,True
WH001,197,171,17,6,2026-06-07,Sony Laptops Illo,Electronics,17668.19,9661.59,C,True,False,0.0,True
WH001,199,210,22,14,2026-06-15,Tata Personal Care Quasi,Grocery,959.88,569.57,C,True,False,0.0,True
WH001,202,279,41,7,2026-06-18,Rupa Academic Eos,Books,1234.05,504.65,C,True,False,0.0,True
WH001,203,11,24,13,2026-05-23,Puma Men Rerum,Fashion,5118.7,2809.65,C,False,True,0.0,False
WH001,204,17,23,14,2026-06-02,Amul Snacks Hic,Grocery,978.45,433.77,C,False,False,0.0,False
WH001,207,237,26,13,2026-06-01,Arihant Non-Fiction Eligendi,Books,1596.79,740.61,C,True,False,0.0,True
WH001,208,170,30,19,2026-06-16,Patanjali Snacks Quibusdam,Grocery,412.55,266.44,C,True,False,0.0,True
WH001,212,252,11,15,2026-05-30,Classmate Art Supplies Corrupti,Stationery,1232.42,621.1,C,True,False,0.0,True
WH001,213,7,24,12,2026-07-15,Fabindia Men Autem,Fashion,6891.29,3905.23,C,False,True,0.0,False
WH001,214,34,33,14,2026-06-20,Bombay Dyeing Cookware Doloremque,Home & Kitchen,5770.27,3278.33,C,False,False,0.0,False
WH001,215,4,20,8,2026-06-02,Lakme Makeup Iure,Beauty,3379.86,1494.98,C,False,True,0.0,False
WH001,216,116,19,17,2026-06-10,Cosco Outdoor Ab,Sports,14602.01,10405.58,A,True,False,0.0,False
WH001,219,26,11,11,2026-07-07,Bombay Dyeing Cookware Error,Home & Kitchen,41795.31,29858.3,B,False,False,0.0,False
WH001,220,19,13,13,2026-07-14,Cosco Fitness Perspiciatis,Sports,10929.02,5750.19,C,False,False,0.0,False
WH001,221,27,42,8,2026-07-05,Godrej Care Molestiae,Automotive,5414.71,2355.23,C,False,False,0.0,False
WH001,225,62,12,18,2026-06-14,Rupa Academic Qui,Books,790.32,374.4,C,True,False,0.0,True
WH001,226,6,30,8,2026-06-10,Apple Audio Error,Electronics,109690.74,80627.71,A,False,True,0.0,False
WH001,227,101,39,6,2026-06-16,Mattel Board Games Cumque,Toys,6218.44,4218.04,C,False,False,0.0,False
WH001,228,83,45,16,2026-07-05,Patanjali Personal Care Facilis,Grocery,308.75,176.46,C,False,False,0.0,False
WH001,229,324,48,17,2026-07-08,Apple Smartphones Adipisci,Electronics,75531.85,39903.26,A,True,False,0.0,False
WH001,230,179,42,14,2026-06-09,Rupa Non-Fiction Quidem,Books,1084.68,784.44,C,True,False,0.0,True
WH001,231,13,34,13,2026-05-20,Tata Personal Care Temporibus,Grocery,665.95,350.56,C,False,True,0.0,False
WH001,232,313,35,11,2026-06-04,Rupa Children Perferendis,Books,802.35,447.77,C,True,False,0.0,True
WH001,234,116,32,14,2026-06-23,Mamaearth Fragrance Saepe,Beauty,4947.21,2573.82,C,True,False,0.0,True
WH001,238,62,35,7,2026-05-27,Zara Accessories Quod,Fashion,3212.62,1473.07,C,False,False,0.0,False
WH001,239,823,24,8,2026-05-27,Amul Beverages Alias,Grocery,763.54,414.76,C,True,False,0.0,True
WH001,240,208,23,11,2026-06-01,Prestige Decor Et,Home & Kitchen,22874.96,10648.28,C,True,False,0.0,True
WH001,241,143,45,7,2026-05-18,Bajaj Decor Ea,Home & Kitchen,28146.53,11651.84,C,True,False,0.0,True
WH001,242,207,45,15,2026-06-21,Bosch Tools Accusamus,Automotive,14333.04,7654.85,C,True,False,0.0,True
WH001,244,4,36,17,2026-06-24,ITC Snacks Eveniet,Grocery,167.58,93.37,C,False,True,0.0,False
WH001,245,151,12,6,2026-06-13,Samsung Audio Error,Electronics,111268.91,75294.38,A,True,False,0.0,False
WH001,247,74,45,6,2026-05-22,Penguin Fiction Quas,Books,1408.58,614.69,C,False,False,0.0,False
WH001,249,20,48,12,2026-05-29,Prestige Furniture Labore,Home & Kitchen,43502.35,25822.91,B,False,False,0.0,False
WH001,252,72,37,15,2026-07-13,Mamaearth Makeup Asperiores,Beauty,4321.27,2827.33,C,False,False,0.0,False
WH001,253,451,25,16,2026-07-03,Cello Office Illo,Stationery,1017.63,626.57,C,True,False,0.0,True
WH001,254,50,35,5,2026-05-24,Prestige Furniture Ad,Home & Kitchen,15738.34,9248.45,B,False,False,0.0,False
WH001,257,467,22,17,2026-06-26,Loreal Makeup Aperiam,Beauty,894.89,617.77,C,True,False,0.0,True
WH001,259,1,48,16,2026-05-29,Hamleys Board Games Consequatur,Toys,1327.29,642.31,C,False,True,0.0,False
WH001,260,414,11,13,2026-06-12,Mattel Board Games Provident,Toys,188.89,138.58,C,True,False,0.0,True
WH001,261,50,36,17,2026-07-01,Hamleys Educational Ullam,Toys,6194.19,3340.21,C,False,False,0.0,False
WH001,262,13,27,18,2026-05-26,Samsung Laptops Dicta,Electronics,118225.07,70397.15,A,False,True,0.0,False
WH001,264,184,19,15,2026-06-30,Puma Accessories Quos,Fashion,4714.63,2638.9,C,True,False,0.0,True
WH001,268,299,14,17,2026-06-11,Funskool Educational Officia,Toys,3133.45,1312.7,B,True,False,0.0,False
WH001,269,98,45,10,2026-06-04,Lego Action Figures Officia,Toys,435.57,201.95,C,False,False,0.0,False
WH001,270,126,28,12,2026-05-21,Prestige Decor Sapiente,Home & Kitchen,45008.73,20635.01,A,True,False,0.0,False
WH001,273,98,19,15,2026-06-08,Decathlon Fitness Ab,Sports,6348.51,4458.01,C,True,False,0.0,True
WH001,274,237,14,9,2026-05-20,Parker Office Aliquam,Stationery,1264.14,610.84,C,True,False,0.0,True
WH001,276,96,17,19,2026-06-15,Bombay Dyeing Furniture Vel,Home & Kitchen,34681.2,15573.55,C,True,False,0.0,True
WH001,277,62,17,6,2026-05-18,Mamaearth Skincare Accusantium,Beauty,3572.32,1579.2,C,True,False,0.0,True
WH001,280,187,26,6,2026-06-20,Lego Educational Dolorum,Toys,5493.9,2317.54,C,True,False,0.0,True
WH001,281,84,45,8,2026-07-05,Samsung Smartphones Quos,Electronics,116227.4,79629.26,B,False,False,0.0,False
WH001,282,103,46,19,2026-06-08,Mamaearth Makeup Ratione,Beauty,1713.01,1024.89,C,False,False,0.0,False
WH001,283,9,17,19,2026-05-26,Samsung Laptops Cum,Electronics,103742.17,64239.04,A,False,True,0.0,False
WH001,284,129,49,7,2026-05-27,3M Accessories Ipsam,Automotive,5784.55,2887.32,C,False,False,0.0,False
WH001,285,177,18,6,2026-05-21,Penguin Fiction Veritatis,Books,371.22,271.8,C,True,False,0.0,True
WH001,286,250,27,18,2026-05-19,Zara Women Cum,Fashion,6112.62,4578.65,C,True,False,0.0,True
WH001,287,18,39,11,2026-06-04,Lakme Skincare Voluptate,Beauty,2630.55,1081.42,C,False,False,0.0,False
WH001,288,213,46,10,2026-05-31,Michelin Tools Distinctio,Automotive,14311.31,10075.16,C,True,False,0.0,True
WH001,289,69,12,16,2026-06-08,Boat Wearables Autem,Electronics,68295.67,28021.46,B,True,False,0.0,False
WH001,290,116,44,5,2026-06-25,Bombay Dyeing Decor Porro,Home & Kitchen,6104.8,2877.57,C,False,False,0.0,False
WH001,292,46,30,12,2026-05-18,Decathlon Team Sports In,Sports,4850.2,1963.82,C,False,False,0.0,False
WH001,295,176,13,9,2026-06-08,Hamleys Educational Voluptate,Toys,1926.85,1050.29,C,True,False,0.0,True
WH001,296,60,27,17,2026-05-17,Loreal Haircare Repellat,Beauty,3213.33,1979.11,C,False,False,0.0,False
WH001,297,421,21,15,2026-07-09,Funskool Action Figures Perspiciatis,Toys,2686.42,1890.58,C,True,False,0.0,True
WH001,298,64,37,19,2026-05-23,Mattel Plush Culpa,Toys,7319.5,4228.56,C,False,False,0.0,False
WH001,299,383,44,9,2026-06-12,Rupa Children Et,Books,299.67,211.92,C,True,False,0.0,True
WH001,300,2,12,11,2026-06-18,Mamaearth Haircare Sequi,Beauty,1119.45,752.63,C,False,True,0.0,False
WH001,301,357,20,17,2026-05-31,Bajaj Cookware Dolorum,Home & Kitchen,11161.58,8254.04,C,True,False,0.0,True
WH001,303,48,47,9,2026-06-02,Amul Snacks Aspernatur,Grocery,112.93,45.57,C,False,False,0.0,False
WH001,305,26,46,13,2026-07-09,Arihant Academic Soluta,Books,1793.69,1017.27,C,False,False,0.0,False
WH001,306,46,47,11,2026-06-05,Oxford Academic Occaecati,Books,1112.93,614.44,C,False,False,0.0,False
WH001,308,64,26,6,2026-06-20,Nykaa Haircare Fugiat,Beauty,2074.28,928.97,C,False,False,0.0,False
WH001,309,329,29,5,2026-05-26,Bombay Dyeing Furniture Unde,Home & Kitchen,46736.58,25519.46,B,True,False,0.0,False
WH001,310,94,45,18,2026-05-24,Zara Men Laborum,Fashion,520.83,325.41,C,False,False,0.0,False
WH001,311,43,43,16,2026-06-15,Nivia Team Sports Hic,Sports,9316.06,5914.12,C,False,False,0.0,False
WH001,312,97,12,9,2026-05-29,Michelin Parts Molestias,Automotive,7247.98,3313.34,C,True,False,0.0,True
WH001,314,457,47,19,2026-05-17,Nivia Fitness Nihil,Sports,13899.76,6319.62,C,True,False,0.0,True
WH001,316,445,25,17,2026-06-17,Hamleys Action Figures Neque,Toys,2422.03,1308.5,C,True,False,0.0,True
WH001,318,41,34,14,2026-06-20,Lakme Haircare Quas,Beauty,845.68,342.83,C,False,False,0.0,False
WH001,319,167,16,9,2026-07-10,Bombay Dyeing Furniture Quae,Home & Kitchen,16291.86,10306.01,A,True,False,0.0,False
WH001,321,72,23,17,2026-07-08,Cello Office Ratione,Stationery,486.23,298.41,C,True,False,0.0,True
WH001,322,1107,45,8,2026-06-11,Penguin Fiction Facilis,Books,346.33,194.81,C,True,False,0.0,True
WH001,324,108,17,7,2026-06-25,Zara Accessories Neque,Fashion,7299.43,5341.35,B,True,False,0.0,False
WH001,325,109,21,8,2026-06-02,Mamaearth Makeup Optio,Beauty,4566.57,2916.08,C,True,False,0.0,True
WH001,326,102,37,5,2026-06-11,Nykaa Skincare Alias,Beauty,3223.1,1583.91,C,False,False,0.0,False
WH001,328,35,45,19,2026-07-07,Samsung Audio Necessitatibus,Electronics,39619.53,29127.73,C,False,False,0.0,False
WH001,329,5,12,13,2026-06-11,Prestige Cookware A,Home & Kitchen,34991.68,16104.82,C,False,True,0.0,False
WH001,330,4,10,10,2026-05-25,Bosch Tools Quibusdam,Automotive,11386.08,5264.37,C,False,True,0.0,False
WH001,331,9,23,7,2026-06-24,Parker Office Ullam,Stationery,515.2,337.83,C,False,False,0.0,False
WH001,332,154,34,17,2026-05-26,Nivia Equipment Sunt,Sports,19238.79,7940.56,B,True,False,0.0,False
WH001,333,62,40,10,2026-05-25,3M Tools Quae,Automotive,13715.26,9392.05,C,False,False,0.0,False
WH001,334,216,41,13,2026-06-17,Lakme Fragrance Odio,Beauty,4318.27,1736.29,C,True,False,0.0,True
WH001,335,316,20,11,2026-05-26,Lego Action Figures Sed,Toys,2356.85,989.48,C,True,False,0.0,True
WH001,336,4,10,13,2026-06-14,Parker Office At,Stationery,193.46,129.45,C,False,True,0.0,False
WH001,337,262,11,13,2026-07-11,Cello Art Supplies Aliquam,Stationery,1084.54,642.05,B,True,False,0.0,False
WH001,338,283,38,7,2026-06-07,ITC Staples Rerum,Grocery,762.2,397.17,C,True,False,0.0,True
WH001,339,0,19,7,2026-06-18,Lakme Haircare Asperiores,Beauty,2026.15,819.84,C,False,True,0.0,False
WH001,341,96,41,12,2026-05-28,IKEA Bedding Accusantium,Home & Kitchen,29951.23,13441.3,B,False,False,0.0,False
WH001,342,224,27,12,2026-07-12,Zara Accessories Facilis,Fashion,5472.51,2328.95,C,True,False,0.0,True
WH001,343,117,21,11,2026-05-27,Lakme Haircare Commodi,Beauty,4181.11,2970.39,C,True,False,0.0,True
WH001,345,505,16,14,2026-05-22,Zara Women Eaque,Fashion,5409.12,3200.7,B,True,False,0.0,False
